Date,index
2006-05-01,249.662829695220000
2006-06-01,247.919286719305000
2006-07-01,246.012904053778000
2006-08-01,244.124460100344000
2006-09-01,243.375165173288000
2006-10-01,242.088481026008000
2006-11-01,241.436758966759000
2006-12-01,239.335235961493000
2007-01-01,240.153250302742000
2007-02-01,238.903861766396000
2007-03-01,236.625498201076000
2007-04-01,234.647141319301000
2007-05-01,232.376163611188000
2007-06-01,229.909131116390000
2007-07-01,226.670015758500000
2007-08-01,223.586691626723000
2007-09-01,219.802791402495000
2007-10-01,215.381295420938000
2007-11-01,209.108404335430000
2007-12-01,203.471831327127000
2008-01-01,199.937346787579000
2008-02-01,193.187190574330000
2008-03-01,188.043220088204000
2008-04-01,182.184222586977000
2008-05-01,178.504394599330000
2008-06-01,174.350487726694000
2008-07-01,169.860869722484000
2008-08-01,165.738436571036000
2008-09-01,161.891866397650000
2008-10-01,157.938690197047000
2008-11-01,155.152199606739000
2008-12-01,152.908602754805000
2009-01-01,150.177704663963000
2009-02-01,149.150428592233000
2009-03-01,146.577197728042000
2009-04-01,145.713774922033000
2009-05-01,145.390003977975000
2009-06-01,146.468004871848000
2009-07-01,148.885107189719000
2009-08-01,151.030800949361000
2009-09-01,152.718475792740000
2009-10-01,154.224695471535000
2009-11-01,155.783903840435000
2009-12-01,157.043829158440000
2010-01-01,159.069961226317000
2010-02-01,160.508165408043000
2010-03-01,162.378054283209000
2010-04-01,162.700520088460000
2010-05-01,163.321324620520000
2010-06-01,162.833333041522000
2010-07-01,162.732373713723000
2010-08-01,161.539127925676000
2010-09-01,160.417278846843000
2010-10-01,158.833985006172000
2010-11-01,159.848580103372000
2010-12-01,159.849932607464000
2011-01-01,159.272708872564000
2011-02-01,157.604666339423000
2011-03-01,155.824842491278000
2011-04-01,155.550397337323000
2011-05-01,154.769915593357000
2011-06-01,154.010688572047000
2011-07-01,153.120575212834000
2011-08-01,152.731023261296000
2011-09-01,151.979285654891000
2011-10-01,151.855074472988000
2011-11-01,151.309435237705000
2011-12-01,151.414880137026000
2012-01-01,150.911226197291000
2012-02-01,151.453845347821000
2012-03-01,151.371965472794000
2012-04-01,152.540420025509000
2012-05-01,152.813623278817000
2012-06-01,153.564037482343000
2012-07-01,154.472357904322000
2012-08-01,155.802004647957000
2012-09-01,158.463359781680000
2012-10-01,161.194850797502000
2012-11-01,163.646163873665000
2012-12-01,165.621414090285000
2013-01-01,165.660596247990000
2013-02-01,166.672232833830000
2013-03-01,169.425873797833000
2013-04-01,174.675132620409000
2013-05-01,179.012404196357000
2013-06-01,183.010141189644000
2013-07-01,186.057323569314000
2013-08-01,189.586826405774000
2013-09-01,191.808927299636000
2013-10-01,193.292831842074000
2013-11-01,194.438661707511000
2013-12-01,195.645916433636000
2014-01-01,197.667174874987000
2014-02-01,199.533574721084000
2014-03-01,200.867176613935000
2014-04-01,201.161293346103000
2014-05-01,201.138864433102000
2014-06-01,201.307053486114000
2014-07-01,201.305084628679000
2014-08-01,201.253266084530000
2014-09-01,201.632223794648000
2014-10-01,202.545020998710000
2014-11-01,204.572228798473000
2014-12-01,205.475018727262000
2015-01-01,207.342148422858000
2015-02-01,208.219411838691000
2015-03-01,209.580157434447000
2015-04-01,209.827858853968000
2015-05-01,210.438800661866000
2015-06-01,210.242505110668000
2015-07-01,212.206401433657000
2015-08-01,213.422327642491000
2015-09-01,215.136917737777000
2015-10-01,215.462041300879000
2015-11-01,217.358846902236000
2015-12-01,220.109412086680000
2016-01-01,221.465893990651000
2016-02-01,221.035154702094000
2016-03-01,221.975303533552000
2016-04-01,222.754657390378000
2016-05-01,223.654503279487000
2016-06-01,223.981233202072000
2016-07-01,224.880861346836000
2016-08-01,225.938644299995000
2016-09-01,226.848441326726000
2016-10-01,228.355874621277000
2016-11-01,230.308003738621000
2016-12-01,232.082882745725000
2017-01-01,233.898723051073000
2017-02-01,235.129949454238000
2017-03-01,235.694332807649000
2017-04-01,236.795342134540000
2017-05-01,238.078546052540000
2017-06-01,239.729379492725000
2017-07-01,240.846692044094000
2017-08-01,243.732503494764000
2017-09-01,245.578338337515000
2017-10-01,246.869747839744000
2017-11-01,247.621966268117000
2017-12-01,249.577513784364000
2018-01-01,251.448002859189000
2018-02-01,252.913253064016000
2018-03-01,253.327702049799000
2018-04-01,254.267999238692000
2018-05-01,254.550664200067000
2018-06-01,255.728208080626000
2018-07-01,255.589129251735000
2018-08-01,255.590298048008000
2018-09-01,255.412719136220000
2018-10-01,256.048965161219000
2018-11-01,255.803494762133000
2018-12-01,255.643803475925000
2019-01-01,255.223235260045000
2019-02-01,255.779868537795000
2019-03-01,255.857286381576000
2019-04-01,255.437549526693000
2019-05-01,256.819156628473000
2019-06-01,258.622426083534000
2019-07-01,260.480921708806000
2019-08-01,261.435260192479000
2019-09-01,262.802066387774000
2019-10-01,263.670335117578000
2019-11-01,266.233495822698000
2019-12-01,268.170754048140000
2020-01-01,269.042252286180000
2020-02-01,267.800513819479000
2020-03-01,268.295818066764000
2020-04-01,269.444644672321000
2020-05-01,269.459156985988000
2020-06-01,271.381197378070000
2020-07-01,274.707831216710000
2020-08-01,281.673136820524000
2020-09-01,288.055629538640000
2020-10-01,294.793205424177000
2020-11-01,299.279505914922000
2020-12-01,303.866631771483000
2021-01-01,308.256304964560000
2021-02-01,313.707769659896000
2021-03-01,319.416499985322000
2021-04-01,326.793878669327000
2021-05-01,334.788714397477000
2021-06-01,344.048500967181000
2021-07-01,350.994198201165000
2021-08-01,355.951459642503000
2021-09-01,360.477590569839000
2021-10-01,366.800260796236000
2021-11-01,373.007707167946000
2021-12-01,382.981302831799000
2022-01-01,392.711352874340000
2022-02-01,405.036374855109000
2022-03-01,413.363330836975000
2022-04-01,418.893012840551000
2022-05-01,419.092434392423000
2022-06-01,417.542108781049000
2022-07-01,408.742159636193000
2022-08-01,401.354673079968000
2022-09-01,394.635491063027000
2022-10-01,393.992361283679000
2022-11-01,391.111623684048000
2022-12-01,389.133089040692000
2023-01-01,387.566662304645000
2023-02-01,387.925255929704000
2023-03-01,390.912270137491000
2023-04-01,395.021264084312000
2023-05-01,400.587946554200000
2023-06-01,406.423168756760000
2023-07-01,411.372115868167000
2023-08-01,418.183993970556000
